Year,Commodity,Value_Bn
2010,Petroleum Products,45.62
2010,Gems & Jewellery,36.25
2010,Engineering Goods,60.22
2010,Pharmaceuticals,17.41
2010,Organic Chemicals,15.24
2010,Rice,7.45
2010,Cotton,4.97
2010,Electronics,7.43
2010,Iron Ore,2.46
2010,Textiles,13.05
2011,Petroleum Products,56.87
2011,Gems & Jewellery,41.39
2011,Engineering Goods,75.61
2011,Pharmaceuticals,20.38
2011,Organic Chemicals,18.0
2011,Rice,9.03
2011,Cotton,5.87
2011,Electronics,8.72
2011,Iron Ore,3.09
2011,Textiles,15.59
2012,Petroleum Products,52.29
2012,Gems & Jewellery,43.76
2012,Engineering Goods,71.74
2012,Pharmaceuticals,20.27
2012,Organic Chemicals,17.35
2012,Rice,9.12
2012,Cotton,5.88
2012,Electronics,8.68
2012,Iron Ore,3.08
2012,Textiles,15.74
2013,Petroleum Products,56.1
2013,Gems & Jewellery,42.93
2013,Engineering Goods,78.83
2013,Pharmaceuticals,21.2
2013,Organic Chemicals,19.45
2013,Rice,8.99
2013,Cotton,6.47
2013,Electronics,9.86
2013,Iron Ore,3.05
2013,Textiles,16.37
2014,Petroleum Products,56.63
2014,Gems & Jewellery,44.15
2014,Engineering Goods,74.77
2014,Pharmaceuticals,20.81
2014,Organic Chemicals,17.74
2014,Rice,9.23
2014,Cotton,5.97
2014,Electronics,9.26
2014,Iron Ore,3.22
2014,Textiles,16.0
2015,Petroleum Products,49.56
2015,Gems & Jewellery,37.19
2015,Engineering Goods,67.59
2015,Pharmaceuticals,17.77
2015,Organic Chemicals,15.26
2015,Rice,8.12
2015,Cotton,5.49
2015,Electronics,7.61
2015,Iron Ore,2.72
2015,Textiles,13.25
2016,Petroleum Products,48.96
2016,Gems & Jewellery,39.38
2016,Engineering Goods,70.77
2016,Pharmaceuticals,18.52
2016,Organic Chemicals,16.44
2016,Rice,8.43
2016,Cotton,5.34
2016,Electronics,7.92
2016,Iron Ore,2.84
2016,Textiles,14.39
2017,Petroleum Products,56.38
2017,Gems & Jewellery,43.62
2017,Engineering Goods,76.84
2017,Pharmaceuticals,20.69
2017,Organic Chemicals,17.88
2017,Rice,8.85
2017,Cotton,6.09
2017,Electronics,8.7
2017,Iron Ore,3.11
2017,Textiles,15.75
2018,Petroleum Products,57.73
2018,Gems & Jewellery,46.63
2018,Engineering Goods,80.73
2018,Pharmaceuticals,22.89
2018,Organic Chemicals,20.14
2018,Rice,10.3
2018,Cotton,6.43
2018,Electronics,9.87
2018,Iron Ore,3.21
2018,Textiles,17.3
2019,Petroleum Products,56.07
2019,Gems & Jewellery,43.62
2019,Engineering Goods,76.64
2019,Pharmaceuticals,21.52
2019,Organic Chemicals,18.03
2019,Rice,9.39
2019,Cotton,6.19
2019,Electronics,9.8
2019,Iron Ore,3.01
2019,Textiles,15.24
2020,Petroleum Products,54.16
2020,Gems & Jewellery,41.64
2020,Engineering Goods,71.38
2020,Pharmaceuticals,20.9
2020,Organic Chemicals,17.46
2020,Rice,9.18
2020,Cotton,5.75
2020,Electronics,8.98
2020,Iron Ore,3.01
2020,Textiles,14.4
2021,Petroleum Products,74.08
2021,Gems & Jewellery,58.04
2021,Engineering Goods,101.39
2021,Pharmaceuticals,28.37
2021,Organic Chemicals,25.81
2021,Rice,12.43
2021,Cotton,8.58
2021,Electronics,12.73
2021,Iron Ore,4.01
2021,Textiles,21.29
