Year,Commodity,Value_Bn
2010,"Mineral fuels, oils (Petroleum)",100.1
2010,"Pearls, precious stones (Gold/Gems)",53.05
2010,Electrical machinery (Electronics),42.39
2010,"Machinery, boilers, etc.",31.86
2010,Organic chemicals,13.98
2010,"Coal, Coke",17.61
2010,Plastics,10.03
2010,Animal/Vegetable fats (Oils),10.29
2010,Iron and Steel,7.32
2010,Optical/Medical,6.9
2011,"Mineral fuels, oils (Petroleum)",149.15
2011,"Pearls, precious stones (Gold/Gems)",76.81
2011,Electrical machinery (Electronics),60.4
2011,"Machinery, boilers, etc.",44.18
2011,Organic chemicals,20.07
2011,"Coal, Coke",24.77
2011,Plastics,15.09
2011,Animal/Vegetable fats (Oils),14.68
2011,Iron and Steel,9.69
2011,Optical/Medical,10.17
2012,"Mineral fuels, oils (Petroleum)",150.59
2012,"Pearls, precious stones (Gold/Gems)",75.83
2012,Electrical machinery (Electronics),57.34
2012,"Machinery, boilers, etc.",45.24
2012,Organic chemicals,18.91
2012,"Coal, Coke",23.41
2012,Plastics,14.44
2012,Animal/Vegetable fats (Oils),14.28
2012,Iron and Steel,10.1
2012,Optical/Medical,9.33
2013,"Mineral fuels, oils (Petroleum)",133.69
2013,"Pearls, precious stones (Gold/Gems)",69.37
2013,Electrical machinery (Electronics),51.67
2013,"Machinery, boilers, etc.",39.17
2013,Organic chemicals,18.19
2013,"Coal, Coke",22.94
2013,Plastics,13.25
2013,Animal/Vegetable fats (Oils),12.89
2013,Iron and Steel,9.08
2013,Optical/Medical,9.24
2014,"Mineral fuels, oils (Petroleum)",137.8
2014,"Pearls, precious stones (Gold/Gems)",70.42
2014,Electrical machinery (Electronics),54.41
2014,"Machinery, boilers, etc.",39.0
2014,Organic chemicals,18.08
2014,"Coal, Coke",21.57
2014,Plastics,13.11
2014,Animal/Vegetable fats (Oils),12.84
2014,Iron and Steel,8.88
2014,Optical/Medical,9.23
2015,"Mineral fuels, oils (Petroleum)",111.78
2015,"Pearls, precious stones (Gold/Gems)",58.88
2015,Electrical machinery (Electronics),45.61
2015,"Machinery, boilers, etc.",34.03
2015,Organic chemicals,15.42
2015,"Coal, Coke",19.34
2015,Plastics,11.23
2015,Animal/Vegetable fats (Oils),11.19
2015,Iron and Steel,7.77
2015,Optical/Medical,7.59
2016,"Mineral fuels, oils (Petroleum)",112.94
2016,"Pearls, precious stones (Gold/Gems)",57.16
2016,Electrical machinery (Electronics),44.58
2016,"Machinery, boilers, etc.",34.17
2016,Organic chemicals,14.95
2016,"Coal, Coke",18.46
2016,Plastics,11.7
2016,Animal/Vegetable fats (Oils),11.28
2016,Iron and Steel,7.84
2016,Optical/Medical,7.87
2017,"Mineral fuels, oils (Petroleum)",145.55
2017,"Pearls, precious stones (Gold/Gems)",66.59
2017,Electrical machinery (Electronics),54.08
2017,"Machinery, boilers, etc.",43.47
2017,Organic chemicals,19.54
2017,"Coal, Coke",23.81
2017,Plastics,13.82
2017,Animal/Vegetable fats (Oils),13.83
2017,Iron and Steel,9.34
2017,Optical/Medical,8.88
2018,"Mineral fuels, oils (Petroleum)",148.73
2018,"Pearls, precious stones (Gold/Gems)",76.5
2018,Electrical machinery (Electronics),59.95
2018,"Machinery, boilers, etc.",46.15
2018,Organic chemicals,21.37
2018,"Coal, Coke",25.82
2018,Plastics,14.65
2018,Animal/Vegetable fats (Oils),14.77
2018,Iron and Steel,10.25
2018,Optical/Medical,9.95
2019,"Mineral fuels, oils (Petroleum)",138.4
2019,"Pearls, precious stones (Gold/Gems)",72.26
2019,Electrical machinery (Electronics),59.67
2019,"Machinery, boilers, etc.",44.01
2019,Organic chemicals,19.37
2019,"Coal, Coke",24.19
2019,Plastics,13.84
2019,Animal/Vegetable fats (Oils),13.62
2019,Iron and Steel,9.68
2019,Optical/Medical,9.32
2020,"Mineral fuels, oils (Petroleum)",113.42
2020,"Pearls, precious stones (Gold/Gems)",61.68
2020,Electrical machinery (Electronics),46.12
2020,"Machinery, boilers, etc.",35.94
2020,Organic chemicals,15.8
2020,"Coal, Coke",19.29
2020,Plastics,11.85
2020,Animal/Vegetable fats (Oils),12.27
2020,Iron and Steel,8.06
2020,Optical/Medical,8.23
2021,"Mineral fuels, oils (Petroleum)",189.13
2021,"Pearls, precious stones (Gold/Gems)",91.53
2021,Electrical machinery (Electronics),75.66
2021,"Machinery, boilers, etc.",55.64
2021,Organic chemicals,24.78
2021,"Coal, Coke",29.3
2021,Plastics,17.86
2021,Animal/Vegetable fats (Oils),17.93
2021,Iron and Steel,12.62
2021,Optical/Medical,11.9
