Year,Month,Exports,Imports
2010,Jan,19984.094399999998,28.002350954159997
2010,Feb,18735.088499999998,26.252204019524996
2010,Mar,22482.1062,31.502644823429996
2010,Apr,19984.094399999998,28.002350954159997
2010,May,20483.69676,28.702409728013997
2010,Jun,20733.49794,29.052439114941
2010,Jul,21233.100300000002,29.752497888795
2010,Aug,21233.100300000002,29.752497888795
2010,Sep,20483.69676,28.702409728013997
2010,Oct,21982.503839999998,30.802586049575996
2010,Nov,21233.100300000002,29.752497888795
2010,Dec,21233.100300000002,29.752497888795
2011,Jan,24475.8624,36.99222326168
2011,Feb,22946.121000000003,34.680209307825
2011,Mar,27535.3452,41.61625116939
2011,Apr,24475.8624,36.99222326168
2011,May,25087.758960000003,37.917028843222006
2011,Jun,25393.707240000003,38.379431633993
2011,Jul,26005.603800000004,39.304237215535004
2011,Aug,26005.603800000004,39.304237215535004
2011,Sep,25087.758960000003,37.917028843222006
2011,Oct,26923.448640000002,40.691445587848
2011,Nov,26005.603800000004,39.304237215535004
2011,Dec,26005.603800000004,39.304237215535004
2012,Jan,24030.745600000002,39.11811027968
2012,Feb,22528.824,36.6732283872
2012,Mar,27034.5888,44.00787406464
2012,Apr,24030.745600000002,39.11811027968
2012,May,24631.51424,40.096063036672
2012,Jun,24931.89856,40.585039415168005
2012,Jul,25532.667200000004,41.56299217216
2012,Aug,25532.667200000004,41.56299217216
2012,Sep,24631.51424,40.096063036672
2012,Oct,26433.82016,43.029921307647996
2012,Nov,25532.667200000004,41.56299217216
2012,Dec,25532.667200000004,41.56299217216
2013,Jan,25151.088799999998,37.28364538664
2013,Feb,23579.14575,34.953417549975
2013,Mar,28294.974899999997,41.94410105997
2013,Apr,25151.088799999998,37.28364538664
2013,May,25779.86602,38.215736521306
2013,Jun,26094.25463,38.681782088639004
2013,Jul,26723.03185,39.613873223305006
2013,Aug,26723.03185,39.613873223305006
2013,Sep,25779.86602,38.215736521306
2013,Oct,27666.197679999997,41.012009925304
2013,Nov,26723.03185,39.613873223305006
2013,Dec,26723.03185,39.613873223305006
2014,Jan,24825.681600000004,36.74955708824
2014,Feb,23274.0765,34.452709770225
2014,Mar,27928.8918,41.34325172427
2014,Apr,24825.681600000004,36.74955708824
2014,May,25446.323640000002,37.668296015446
2014,Jun,25756.64466,38.127665479049
2014,Jul,26377.286700000004,39.046404406255
2014,Aug,26377.286700000004,39.046404406255
2014,Sep,25446.323640000002,37.668296015446
2014,Oct,27308.24976,40.424512797064
2014,Nov,26377.286700000004,39.046404406255
2014,Dec,26377.286700000004,39.046404406255
2015,Jan,20981.944,31.2595785124
2015,Feb,19670.5725,29.305854855374996
2015,Mar,23604.686999999998,35.16702582644999
2015,Apr,20981.944,31.2595785124
2015,May,21506.4926,32.04106797521
2015,Jun,21768.7669,32.431812706615
2015,Jul,22293.3155,33.213302169425
2015,Aug,22293.3155,33.213302169425
2015,Sep,21506.4926,32.04106797521
2015,Oct,23080.138399999996,34.38553636363999
2015,Nov,22293.3155,33.213302169425
2015,Dec,22293.3155,33.213302169425
2016,Jan,22066.821600000003,28.53638336856
2016,Feb,20687.64525,26.752859408025
2016,Mar,24825.174300000002,32.10343128963
2016,Apr,22066.821600000003,28.53638336856
2016,May,22618.492140000002,29.249792952774
2016,Jun,22894.32741,29.606497744881
2016,Jul,23445.997950000004,30.319907329095003
2016,Aug,23445.997950000004,30.319907329095003
2016,Sep,22618.492140000002,29.249792952774
2016,Oct,24273.50376,31.390021705415997
2016,Nov,23445.997950000004,30.319907329095003
2016,Dec,23445.997950000004,30.319907329095003
2017,Jan,24280.627999999997,35.524188306902644
2017,Feb,22763.08875,33.303926537721225
2017,Mar,27315.706499999997,39.96471184526547
2017,Apr,24280.627999999997,35.524188306902644
2017,May,24887.6437,36.41229301457521
2017,Jun,25191.15155,36.856345368411496
2017,Jul,25798.16725,37.744450076084064
2017,Aug,25798.16725,37.744450076084064
2017,Sep,24887.6437,36.41229301457521
2017,Oct,26708.690799999997,39.0766071375929
2017,Nov,25798.16725,37.744450076084064
2017,Dec,25798.16725,37.744450076084064
2018,Jan,26404.6912,49.43564824617864
2018,Feb,24754.398,46.345920230792466
2018,Mar,29705.2776,55.61510427695096
2018,Apr,26404.6912,49.43564824617864
2018,May,27064.808480000003,50.6715394523331
2018,Jun,27394.867120000003,51.28948505541034
2018,Jul,28054.984400000005,52.5253762615648
2018,Aug,28054.984400000005,52.5253762615648
2018,Sep,27064.808480000003,50.6715394523331
2018,Oct,29045.16032,54.379213070796496
2018,Nov,28054.984400000005,52.5253762615648
2018,Dec,28054.984400000005,52.5253762615648
2019,Jan,25067.291200000003,38.31069832891248
2019,Feb,23500.5855,35.91627968335545
2019,Mar,28200.7026,43.099535620026536
2019,Apr,25067.291200000003,38.31069832891248
2019,May,25693.97348,39.26846578713529
2019,Jun,26007.31462,39.7473495162467
2019,Jul,26633.996900000002,40.70511697446951
2019,Aug,26633.996900000002,40.70511697446951
2019,Sep,25693.97348,39.26846578713529
2019,Oct,27574.02032,42.141768161803725
2019,Nov,26633.996900000002,40.70511697446951
2019,Dec,26633.996900000002,40.70511697446951
2020,Jan,23343.1568,31.554870400000002
2020,Feb,21884.2095,29.582690999999997
2020,Mar,26261.0514,35.499229199999995
2020,Apr,23343.1568,31.554870400000002
2020,May,23926.735720000004,32.34374216
2020,Jun,24218.525180000004,32.73817804
2020,Jul,24802.104100000004,33.5270498
2020,Aug,24802.104100000004,33.5270498
2020,Sep,23926.735720000004,32.34374216
2020,Oct,25677.47248,34.710357439999996
2020,Nov,24802.104100000004,33.5270498
2020,Dec,24802.104100000004,33.5270498
2021,Jan,33758.7496,39.547388000000005
2021,Feb,31648.827749999997,37.07567625
2021,Mar,37978.5933,44.4908115
2021,Apr,33758.7496,39.547388000000005
2021,May,34602.71834,40.536072700000005
2021,Jun,35024.702710000005,41.03041505
2021,Jul,35868.67145,42.01909975
2021,Aug,35868.67145,42.01909975
2021,Sep,34602.71834,40.536072700000005
2021,Oct,37134.62456,43.5021268
2021,Nov,35868.67145,42.01909975
2021,Dec,35868.67145,42.01909975
