Year,Exports,Imports,GDP,Deflator,Total_Trade,Trade_Balance,Export_Share_Pct,Import_Share_Pct,Trade_Intensity_Pct,Export_Import_Gap_Pct,Real_Exports,Real_Imports,Export_Growth,Import_Growth,Period
2010,249801.18,350.029386927,1675,75.0,250151.209386927,249451.150613073,99.86007287840629,0.1399271215937174,14934.400560413553,-71265.77365491231,333068.24,466.705849236,,,Pre-COVID
2011,305948.28,462.402790771,1823,81.0,306410.682790771,305485.87720922905,99.84909051258936,0.1509094874106417,16808.046230980308,-66064.88613528234,377713.925925926,570.8676429271604,22.47671528212958,32.10399127643417,Pre-COVID
2012,300384.32,488.976378496,1827,87.0,300873.296378496,299895.343621504,99.8374809647843,0.1625190352156982,16468.160721318884,-61331.25378038221,345269.3333333334,562.0418143632184,-1.8185949599063056,5.746848473966115,Pre-COVID
2013,314388.61,466.045567333,1856,92.0,314854.655567333,313922.564432667,99.85198072853862,0.1480192714613788,16964.15170082613,-67358.77056596105,341726.74999999994,506.5712688402174,4.662124174790483,-4.689553968543613,Pre-COVID
2014,310321.02,459.369463603,2039,95.0,310780.38946360303,309861.650536397,99.85218840082032,0.1478115991796834,15241.804289534237,-67453.68926050082,326653.705263158,483.5468037926316,-1.2938095944379002,-1.4325002098410256,Pre-COVID
2015,262274.3,390.744731405,2103,100.0,262665.044731405,261883.555268595,99.85123839686985,0.1487616031301638,12490.016392363528,-67021.64718304477,262274.3,390.744731405,-15.482908634419934,-14.938897257068753,Pre-COVID
2016,275835.27,356.704792107,2294,103.0,276191.974792107,275478.565207893,99.8708489656966,0.1291510343034028,12039.754786055231,-77228.72563070538,267801.23300970875,346.31533214271843,5.170529480013886,-8.711554260911624,Pre-COVID
2017,303507.85,444.05235383628303,2651,107.0,303951.9023538363,303063.7976461637,99.853907032528,0.1460929674719894,11465.55648260416,-68249.564500203,283652.1962616822,415.0021998469935,10.03228484885199,24.487353033115845,Pre-COVID
2018,330058.64,617.9456030772329,2702,112.5,330676.58560307726,329440.6943969228,99.81312689498404,0.186873105015961,12238.215603370734,-53312.24832030209,293385.4577777778,549.2849805130959,8.747974722894325,39.16052864907509,Pre-COVID
2019,313341.14,478.883729111406,2835,114.0,313820.0237291114,312862.2562708886,99.84740179309756,0.1525982069024305,11069.489373160895,-65331.56949212308,274860.6491228071,420.0734465889527,-5.065009054148684,-22.50390216765512,Pre-COVID
2020,291789.46,394.43588,2671,118.0,292183.89588,291395.02412,99.86500423686526,0.1349957631347331,10939.120025458633,-73876.3989016415,247279.2033898305,334.26769491525425,-6.878024379435144,-17.634311624682564,Post-COVID
2021,421984.37,494.34235,3150,128.0,422478.71235,421490.02765,99.88298999794564,0.1170100020543674,13412.022614285715,-85262.7794584057,329675.2890625,386.2049609375,44.61946980538638,25.32895080437409,Post-COVID
